City,State,Median income (USD)
Abanda,Alabama,25787
Abbeville,Alabama,36944
Adamsville,Alabama,46150
Addison,Alabama,44000
Akron,Alabama,28438
Alabaster,Alabama,83181
Albertville,Alabama,51718
Alexander,Alabama,41778
Alexandria,Alabama,88090
Aliceville,Alabama,30411
Allgood,Alabama,56250
Altoona,Alabama,40000
Andalusia,Alabama,40516
Anderson,Alabama,76250
Anniston,Alabama,39928
Arab,Alabama,50321
Ardmore,Alabama,37448
Argo,Alabama,80733
Ariton,Alabama,31406
Arley,Alabama,44167
Ashford,Alabama,47167
Ashland,Alabama,25458
Ashville,Alabama,42875
Athens,Alabama,52211
Atmore,Alabama,29104
Attalla,Alabama,46278
Auburn,Alabama,54700
Autaugaville,Alabama,34375
Avon,Alabama,61250
Axis,Alabama,-2500
Babbie,Alabama,47500
Baileyton,Alabama,53135
Bakerhill,Alabama,36250
Ballplay,Alabama,54803
Banks,Alabama,43558
Bay Minette,Alabama,35851
Bayou La Batre,Alabama,29099
Bear Creek,Alabama,33833
Beatrice,Alabama,28750
Beaverton,Alabama,50833
Belgreen,Alabama,34375
Belk,Alabama,39167
Bellamy,Alabama,16500
Belle Fontaine,Alabama,41953
Benton,Alabama,84063
Berlin,Alabama,56563
Berry,Alabama,43300
Bessemer,Alabama,32416
Billingsley,Alabama,31250
Birmingham,Alabama,39403
Black,Alabama,51230
Blountsville,Alabama,41335
Blue Ridge,Alabama,110250
Blue Springs,Alabama,40625
Boaz,Alabama,40732
Boligee,Alabama,11445
Bon Air,Alabama,18000
Bon Secour,Alabama,72330
Boykin,Alabama,32500
Brantley,Alabama,28125
Brantleyville,Alabama,46544
Brent,Alabama,22304
Brewton,Alabama,44528
Bridgeport,Alabama,35551
Brighton,Alabama,28125
Brilliant,Alabama,40675
Bristow Cove,Alabama,52464
Brook Highland,Alabama,72664
Brookside,Alabama,62321
Brookwood,Alabama,64479
Broomtown,Alabama,25083
Brundidge,Alabama,35440
Bucks,Alabama,-
Butler,Alabama,39553
Calera,Alabama,70504
Calvert,Alabama,-
Camden,Alabama,40670
Camp Hill,Alabama,28800
Carbon Hill,Alabama,26481
Cardiff,Alabama,-
Carlisle-Rockledge,Alabama,37468
Carlton,Alabama,-
Carolina,Alabama,50714
Carrollton,Alabama,28487
Castleberry,Alabama,42083
Catherine,Alabama,-
Cedar Bluff,Alabama,37667
Center Point,Alabama,44676
Centre,Alabama,38778
Centreville,Alabama,35074
Chatom,Alabama,52788
Chelsea,Alabama,93658
Cherokee,Alabama,36406
Chickasaw,Alabama,36196
Childersburg,Alabama,37043
Choccolocco,Alabama,65268
Chunchula,Alabama,35896
Citronelle,Alabama,50956
Clanton,Alabama,48051
Clay,Alabama,74265
Clayhatchee,Alabama,45688
Clayton,Alabama,30658
Cleveland,Alabama,46458
Clio,Alabama,24735
Coaling,Alabama,75098
Coats Bend,Alabama,45056
Coffee Springs,Alabama,41010
Coffeeville,Alabama,26786
Coker,Alabama,57404
Collinsville,Alabama,37500
Colony,Alabama,41875
Columbia,Alabama,51563
Columbiana,Alabama,50357
Concord,Alabama,70114
Coosada,Alabama,58512
Cordova,Alabama,35764
Cottondale,Alabama,49516
Cottonwood,Alabama,29375
County Line,Alabama,92708
Courtland,Alabama,38125
Cowarts,Alabama,52042
Creola,Alabama,56382
Crossville,Alabama,37917
Cuba,Alabama,54063
Cullman,Alabama,54669
Cullomburg,Alabama,-
Cusseta,Alabama,71250
Dadeville,Alabama,24722
Daleville,Alabama,43459
Daphne,Alabama,74701
Dauphin Island,Alabama,62560
Daviston,Alabama,44583
Dayton,Alabama,45000
Deatsville,Alabama,97868
Decatur,Alabama,52539
Deer Park,Alabama,-2500
Delta,Alabama,-
Demopolis,Alabama,40968
Detroit,Alabama,-
Dodge,Alabama,49167
Dora,Alabama,52592
Dothan,Alabama,49203
Double Springs,Alabama,33987
Douglas,Alabama,43750
Dozier,Alabama,-
Dunnavant,Alabama,71538
Dutton,Alabama,-
Eagle Point,Alabama,142250
East Brewton,Alabama,38587
East Point,Alabama,70738
Eclectic,Alabama,46339
Edgewater,Alabama,128333
Edwardsville,Alabama,62250
Egypt,Alabama,42944
Elba,Alabama,39913
Elberta,Alabama,48657
Eldridge,Alabama,49250
Elkmont,Alabama,41429
Elmore,Alabama,26650
Emelle,Alabama,-
Emerald Mountain,Alabama,102232
Enterprise,Alabama,63859
Epes,Alabama,-
Equality,Alabama,-
Ethelsville,Alabama,60938
Eufaula,Alabama,35127
Eunola,Alabama,-
Eutaw,Alabama,30331
Eva,Alabama,102000
Evergreen,Alabama,36021
Excel,Alabama,62500
Fairfield,Alabama,43914
Fairford,Alabama,-
Fairhope,Alabama,83258
Fairview,Alabama,33750
Falkville,Alabama,38281
Faunsdale,Alabama,-
Fayette,Alabama,34133
Fayetteville,Alabama,55284
Fitzpatrick,Alabama,-
Five Points,Alabama,56458
Flomaton,Alabama,31522
Florala,Alabama,26696
Florence,Alabama,40944
Foley,Alabama,53817
Forestdale,Alabama,58706
Forkland,Alabama,24375
Fort Deposit,Alabama,26389
Fort Payne,Alabama,44330
Fort Rucker,Alabama,67574
Franklin,Alabama,74369
Fredonia,Alabama,-
Frisco City,Alabama,25804
Fruitdale,Alabama,-
Fruithurst,Alabama,48500
Fulton,Alabama,53952
Fultondale,Alabama,72766
Fyffe,Alabama,34432
Gadsden,Alabama,35776
Gainesville,Alabama,-
Gallant,Alabama,-
Gantt,Alabama,57500
Garden City,Alabama,50313
Gardendale,Alabama,74608
Gaylesville,Alabama,45833
Geiger,Alabama,48125
Geneva,Alabama,38125
Georgiana,Alabama,29750
Geraldine,Alabama,50208
Gilbertown,Alabama,61094
Glen Allen,Alabama,41731
Glencoe,Alabama,63060
Glenwood,Alabama,31875
Goldville,Alabama,35313
Good Hope,Alabama,58036
Goodwater,Alabama,32256
Gordo,Alabama,42449
Gordon,Alabama,41750
Gordonville,Alabama,44688
Goshen,Alabama,38750
Graham,Alabama,39531
Grand Bay,Alabama,71167
Grant,Alabama,66923
Grayson Valley,Alabama,53403
Graysville,Alabama,50216
Greensboro,Alabama,25465
Greenville,Alabama,39959
Grimes,Alabama,41071
Grove Hill,Alabama,53250
Guin,Alabama,44634
Gulfcrest,Alabama,-
Gulf Shores,Alabama,53048
Guntersville,Alabama,53750
Gurley,Alabama,56250
Gu-Win,Alabama,33750
Hackleburg,Alabama,31910
Hackneyville,Alabama,-
Haleburg,Alabama,57083
Haleyville,Alabama,47701
Hamilton,Alabama,42722
Hammondville,Alabama,41042
Hanceville,Alabama,34111
Hanover,Alabama,-
Harpersville,Alabama,66303
Hartford,Alabama,42043
Hartselle,Alabama,61557
Harvest,Alabama,106059
Hatton,Alabama,250000
Hayden,Alabama,75221
Hayneville,Alabama,26364
Hazel Green,Alabama,55786
Headland,Alabama,72391
Heath,Alabama,55747
Heflin,Alabama,40368
Helena,Alabama,96173
Henagar,Alabama,49688
Highland Lake,Alabama,51957
Highland Lakes,Alabama,148405
Hillsboro,Alabama,52035
Hissop,Alabama,-
Hobson,Alabama,126842
Hobson City,Alabama,36250
Hodges,Alabama,70750
Hokes Bluff,Alabama,56681
Hollins,Alabama,47634
Hollis Crossroads,Alabama,51111
Holly Pond,Alabama,43594
Hollywood,Alabama,39615
Holt,Alabama,37194
Holtville,Alabama,61038
Homewood,Alabama,89433
Hoover,Alabama,95970
Horn Hill,Alabama,36875
Hueytown,Alabama,58151
Huguley,Alabama,39601
Huntsville,Alabama,60959
Hurtsboro,Alabama,37083
Hytop,Alabama,60625
Ider,Alabama,37313
Indian Springs Village,Alabama,124659
Irondale,Alabama,63010
Ivalee,Alabama,36307
Jackson,Alabama,49460
Jacksons' Gap,Alabama,51071
Jacksonville,Alabama,41920
Jasper,Alabama,55721
Jemison,Alabama,55333
Joppa,Alabama,-
Kansas,Alabama,44375
Kellyton,Alabama,51250
Kennedy,Alabama,43158
Killen,Alabama,54261
Kimberly,Alabama,98882
Kinsey,Alabama,52734
Kinston,Alabama,40278
Ladonia,Alabama,47849
La Fayette,Alabama,30230
Lakeview,Alabama,50750
Lake View,Alabama,84456
Lanett,Alabama,46404
Langston,Alabama,50227
Leeds,Alabama,62432
Leesburg,Alabama,55625
Leighton,Alabama,27946
Leroy,Alabama,68854
Lester,Alabama,46250
Level Plains,Alabama,66786
Lexington,Alabama,58304
Libertyville,Alabama,105000
Lillian,Alabama,55192
Lincoln,Alabama,63464
Linden,Alabama,40427
Lineville,Alabama,36522
Lipscomb,Alabama,41161
Lisman,Alabama,44583
Littleville,Alabama,48594
Livingston,Alabama,16321
Loachapoka,Alabama,39688
Lockhart,Alabama,31477
Locust Fork,Alabama,33775
Lookout Mountain,Alabama,-
Louisville,Alabama,37679
Lowndesboro,Alabama,59375
Loxley,Alabama,73125
Luverne,Alabama,49148
Lynn,Alabama,35880
McCalla,Alabama,73332
McDonald Chapel,Alabama,45900
Macedonia,Alabama,44038
McIntosh,Alabama,73750
McKenzie,Alabama,25781
McMullen,Alabama,11538
Madison,Alabama,105335
Madrid,Alabama,46250
Magnolia Springs,Alabama,81786
Malcolm,Alabama,-
Malvern,Alabama,45167
Maplesville,Alabama,44500
Marbury,Alabama,66250
Margaret,Alabama,64992
Marion,Alabama,28915
Maytown,Alabama,47750
Meadowbrook,Alabama,128125
Megargel,Alabama,-
Memphis,Alabama,-2500
Mentone,Alabama,38000
Meridianville,Alabama,85719
Midfield,Alabama,46929
Midland City,Alabama,30987
Midway,Alabama,25000
Mignon,Alabama,44844
Millbrook,Alabama,59084
Millerville,Alabama,-
Millport,Alabama,58906
Millry,Alabama,37750
Minor,Alabama,47837
Mobile,Alabama,44780
Monroeville,Alabama,28718
Montevallo,Alabama,43504
Montgomery,Alabama,49989
Moody,Alabama,69846
Moores Mill,Alabama,76392
Mooresville,Alabama,-
Morris,Alabama,84375
Morrison Crossroads,Alabama,21402
Mosses,Alabama,27634
Moulton,Alabama,36992
Moundville,Alabama,57857
Mountain Brook,Alabama,150268
Mount Olive CDP (Coosa County),Alabama,44464
Mount Olive CDP (Jefferson County),Alabama,85597
Mount Vernon,Alabama,39129
Movico,Alabama,13750
Mulga,Alabama,33750
Munford,Alabama,27375
Muscle Shoals,Alabama,61772
Myrtlewood,Alabama,71250
Nanafalia,Alabama,-
Nances Creek,Alabama,105700
Napier Field,Alabama,47692
Natural Bridge,Alabama,100500
Nauvoo,Alabama,36875
Nectar,Alabama,42955
Needham,Alabama,56250
Newbern,Alabama,30833
New Brockton,Alabama,59760
New Hope,Alabama,71917
New Market,Alabama,45365
New Site,Alabama,55000
Newton,Alabama,58594
New Union,Alabama,66442
Newville,Alabama,31786
Nixburg,Alabama,45515
North Courtland,Alabama,26146
North Johns,Alabama,41786
Northport,Alabama,69921
Notasulga,Alabama,48333
Oak Grove,Alabama,51711
Oak Hill,Alabama,-
Oakman,Alabama,21753
Odenville,Alabama,69479
Ohatchee,Alabama,59844
Oneonta,Alabama,40391
Onycha,Alabama,35536
Opelika,Alabama,51074
Opp,Alabama,40372
Orange Beach,Alabama,84838
Orrville,Alabama,17321
Our,Alabama,65061
Owens Cross Roads,Alabama,65100
Oxford,Alabama,62226
Ozark,Alabama,44014
Paint Rock,Alabama,58000
Panola,Alabama,-
Parrish,Alabama,33594
Pea Ridge,Alabama,42298
Pelham,Alabama,81606
Pell City,Alabama,58036
Pennington,Alabama,25732
Penton,Alabama,-
Perdido,Alabama,42250
Perdido Beach,Alabama,71667
Peterman,Alabama,-
Petrey,Alabama,59583
Phenix City,Alabama,43296
Phil Campbell,Alabama,29167
Pickensville,Alabama,40833
Piedmont,Alabama,45463
Pike Road,Alabama,109537
Pinckard,Alabama,43750
Pine Apple,Alabama,39205
Pine Hill,Alabama,36184
Pine Level,Alabama,80066
Pine Ridge,Alabama,73205
Pinson,Alabama,70393
Pisgah,Alabama,48795
Pleasant Grove,Alabama,67000
Pleasant Groves,Alabama,53250
Point Clear,Alabama,62188
Pollard,Alabama,-
Powell,Alabama,54009
Prattville,Alabama,65932
Priceville,Alabama,97845
Prichard,Alabama,32900
Providence,Alabama,49583
Putnam,Alabama,-
Ragland,Alabama,35875
Rainbow City,Alabama,51765
Rainsville,Alabama,49375
Ranburne,Alabama,45000
Ray,Alabama,60703
Red Bay,Alabama,30000
Redland,Alabama,107350
Red Level,Alabama,47500
Redstone Arsenal,Alabama,105156
Reece City,Alabama,53958
Reeltown,Alabama,-
Reform,Alabama,34647
Rehobeth,Alabama,58967
Remlap,Alabama,55446
Repton,Alabama,37083
Ridgeville,Alabama,26719
River Falls,Alabama,31250
Riverside,Alabama,55417
Riverview,Alabama,30833
Roanoke,Alabama,38731
Robertsdale,Alabama,55707
Rock Creek,Alabama,63098
Rockford,Alabama,26354
Rock Mills,Alabama,33185
Rockville,Alabama,-
Rogersville,Alabama,42337
Rosa,Alabama,36346
Russellville,Alabama,43829
Rutledge,Alabama,33500
St. Florian,Alabama,46250
St. Stephens,Alabama,-
Saks,Alabama,51135
Samson,Alabama,28884
Sand Rock,Alabama,63698
Sanford,Alabama,20341
Saraland,Alabama,61216
Sardis City,Alabama,61944
Satsuma,Alabama,88312
Scottsboro,Alabama,43672
Section,Alabama,31667
Selma,Alabama,29656
Selmont-West Selmont,Alabama,31745
Semmes,Alabama,55409
Sheffield,Alabama,36642
Shelby,Alabama,54896
Shiloh,Alabama,54417
Shoal Creek,Alabama,119018
Shorter,Alabama,39583
Silas,Alabama,45952
Silverhill,Alabama,49375
Sims Chapel,Alabama,-
Sipsey,Alabama,20526
Skyline,Alabama,36826
Slocomb,Alabama,37596
Smiths Station,Alabama,53096
Smoke Rise,Alabama,108200
Snead,Alabama,50956
Somerville,Alabama,39904
Southside,Alabama,66692
South Vinemont,Alabama,27625
Spanish Fort,Alabama,89504
Spring Garden,Alabama,29267
Springville,Alabama,56106
Spruce Pine,Alabama,46250
Standing Rock,Alabama,-
Stapleton,Alabama,140038
Steele,Alabama,43182
Sterrett,Alabama,26007
Stevenson,Alabama,41348
Stewartville,Alabama,55045
Stockton,Alabama,127699
Sulligent,Alabama,22837
Sumiton,Alabama,58578
Summerdale,Alabama,60500
Susan Moore,Alabama,50000
Sweet Water,Alabama,63000
Sylacauga,Alabama,41864
Sylvania,Alabama,46615
Sylvan Springs,Alabama,75250
Talladega,Alabama,31795
Talladega Springs,Alabama,43750
Tallassee,Alabama,47405
Tarrant,Alabama,36927
Taylor,Alabama,49394
Theodore,Alabama,57524
Thomaston,Alabama,-
Thomasville,Alabama,41417
Thorsby,Alabama,58194
Tibbie,Alabama,-
Tidmore Bend,Alabama,45469
Tillmans Corner,Alabama,45769
Town Creek,Alabama,36824
Toxey,Alabama,26875
Trafford,Alabama,21146
Triana,Alabama,71202
Trinity,Alabama,78621
Troy,Alabama,36409
Trussville,Alabama,108070
Tuscaloosa,Alabama,44880
Tuscumbia,Alabama,42692
Tuskegee,Alabama,32024
Twin,Alabama,43125
Underwood-Petersville,Alabama,38214
Union,Alabama,-
Union Grove,Alabama,-
Union Springs,Alabama,20476
Uniontown,Alabama,22159
Uriah,Alabama,-
Valley,Alabama,51476
Valley Grande,Alabama,64721
Valley Head,Alabama,39367
Vance,Alabama,62794
Vandiver,Alabama,24070
Vernon,Alabama,34181
Vestavia Hills,Alabama,118539
Vina,Alabama,36450
Vincent,Alabama,38571
Vinegar Bend,Alabama,-
Vredenburgh,Alabama,-
Wadley,Alabama,21346
Waldo,Alabama,36731
Walnut Grove,Alabama,36875
Warrior,Alabama,44075
Waterloo,Alabama,36250
Waverly,Alabama,64583
Weaver,Alabama,66990
Webb,Alabama,39688
Wedowee,Alabama,35750
Weogufka,Alabama,43850
West Blocton,Alabama,37330
West End-Cobb,Alabama,40143
West Jefferson,Alabama,44531
Westover,Alabama,79362
West Point,Alabama,52321
Wetumpka,Alabama,49146
Whatley,Alabama,-
White Hall,Alabama,31944
White Plains,Alabama,53796
Whitesboro,Alabama,57880
Wilsonville,Alabama,61111
Wilton,Alabama,53594
Winfield,Alabama,68109
Woodland,Alabama,145227
Woodstock,Alabama,56146
Woodville,Alabama,48750
Yellow Bluff,Alabama,16250
York,Alabama,30307
Adak,Alaska,57500
Akhiok,Alaska,65417
Akiachak,Alaska,38125
Akiak,Alaska,56875
Akutan,Alaska,32750
Alakanuk,Alaska,36429
Alatna,Alaska,46250
Alcan Border,Alaska,-
Aleknagik,Alaska,46875
Aleneva,Alaska,-
Allakaket,Alaska,22000
Ambler,Alaska,35750
Anaktuvuk Pass,Alaska,62788
Anchorage municipality,Alaska,88871
Anchor Point,Alaska,54024
Anderson,Alaska,90000
Angoon,Alaska,44167
Aniak,Alaska,63750
Anvik,Alaska,51250
Arctic Village,Alaska,37708
Atka,Alaska,52500
Atmautluak,Alaska,44500
Atqasuk,Alaska,91875
Attu Station,Alaska,-
Badger,Alaska,89375
Bear Creek,Alaska,63320
Beaver,Alaska,33036
Beluga,Alaska,-
Bethel,Alaska,100168
Bettles,Alaska,-
Big Delta,Alaska,75556
Big Lake,Alaska,57157
Birch Creek,Alaska,-
Brevig Mission,Alaska,55078
Buckland,Alaska,51923
Buffalo Soapstone,Alaska,64107
Butte,Alaska,91471
Cantwell,Alaska,34000
Central,Alaska,16296
Chalkyitsik,Alaska,28333
Chase,Alaska,-
Chefornak,Alaska,34375
Chena Ridge,Alaska,114655
Chenega,Alaska,75833
Chevak,Alaska,37813
Chickaloon,Alaska,46719
Chicken,Alaska,-
Chignik,Alaska,75417
Chignik Lagoon,Alaska,44375
Chignik Lake,Alaska,34750
Chiniak,Alaska,-
Chisana,Alaska,-
Chistochina,Alaska,-
Chitina,Alaska,-
Chuathbaluk,Alaska,21875
Circle,Alaska,26875
Clam Gulch,Alaska,-
Clark's Point,Alaska,21000
Coffman Cove,Alaska,-
Cohoe,Alaska,56875
Cold Bay,Alaska,125227
Coldfoot,Alaska,-
College,Alaska,70319
Cooper Landing,Alaska,109107
Copper Center,Alaska,57917
Cordova,Alaska,77667
Covenant Life,Alaska,-
Craig,Alaska,61875
Crooked Creek,Alaska,27500
Crown Point,Alaska,-
Deering,Alaska,44375
Delta Junction,Alaska,71765
Deltana,Alaska,100707
Denali Park,Alaska,77941
Diamond Ridge,Alaska,90208
Dillingham,Alaska,82604
Diomede,Alaska,20625
Dot Lake,Alaska,-
Dot Lake Village,Alaska,-
Dry Creek,Alaska,33250
Eagle,Alaska,48750
Eagle Village,Alaska,-
Eareckson Station,Alaska,-
Edna Bay,Alaska,38500
Eek,Alaska,40417
Egegik,Alaska,96250
Eielson AFB,Alaska,63182
Ekwok,Alaska,35500
Elfin Cove,Alaska,194063
Elim,Alaska,40750
Emmonak,Alaska,42321
Ester,Alaska,67788
Eureka Roadhouse,Alaska,-
Evansville,Alaska,82083
Excursion Inlet,Alaska,-
Fairbanks,Alaska,66572
False Pass,Alaska,65625
Farmers Loop,Alaska,92205
Farm Loop,Alaska,105521
Ferry,Alaska,-
Fishhook,Alaska,92188
Flat,Alaska,-
Fort Greely,Alaska,60625
Fort Yukon,Alaska,36250
Four Mile Road,Alaska,-
Fox,Alaska,-
Fox River,Alaska,49688
Fritz Creek,Alaska,70987
Funny River,Alaska,55023
Gakona,Alaska,-
Galena,Alaska,76250
Gambell,Alaska,46111
Game Creek,Alaska,-
Gateway,Alaska,110610
Glacier View,Alaska,37500
Glennallen,Alaska,74241
Goldstream,Alaska,68216
Golovin,Alaska,54375
Goodnews Bay,Alaska,23500
Grayling,Alaska,32500
Gulkana,Alaska,50833
Gustavus,Alaska,76500
Haines,Alaska,64430
Halibut Cove,Alaska,73000
Happy Valley,Alaska,45952
Harding-Birch Lakes,Alaska,69397
Healy,Alaska,89531
Healy Lake,Alaska,11667
Hobart Bay,Alaska,-
Hollis,Alaska,52450
Holy Cross,Alaska,30833
Homer,Alaska,63854
Hoonah,Alaska,64432
Hooper Bay,Alaska,33281
Hope,Alaska,-2500
Houston,Alaska,53409
Hughes,Alaska,21250
Huslia,Alaska,44375
Hydaburg,Alaska,45938
Hyder,Alaska,-
Igiugig,Alaska,78750
Iliamna,Alaska,-
Ivanof Bay,Alaska,-
Juneau city and borough,Alaska,90126
Kachemak,Alaska,63571
Kake,Alaska,64000
Kaktovik,Alaska,78250
Kalifornsky,Alaska,82436
Kaltag,Alaska,28750
Karluk,Alaska,-
Kasaan,Alaska,75417
Kasigluk,Alaska,43125
Kasilof,Alaska,-
Kenai,Alaska,70732
Kenny Lake,Alaska,-
Ketchikan,Alaska,68125
Kiana,Alaska,58000
King Cove,Alaska,71591
King Salmon,Alaska,93750
Kipnuk,Alaska,35357
Kivalina,Alaska,59688
Klawock,Alaska,53750
Klukwan,Alaska,37917
Knik-Fairview,Alaska,88708
Knik River,Alaska,70078
Kobuk,Alaska,29688
Kodiak,Alaska,67391
Kodiak Station,Alaska,92734
Kokhanok,Alaska,29583
Koliganek,Alaska,56500
Kongiganak,Alaska,57083
Kotlik,Alaska,47833
Kotzebue,Alaska,95385
Koyuk,Alaska,33438
Koyukuk,Alaska,20893
Kupreanof,Alaska,-
Kwethluk,Alaska,31250
Kwigillingok,Alaska,57250
Lake Louise,Alaska,-
Lake Minchumina,Alaska,-
Larsen Bay,Alaska,87917
Lazy Mountain,Alaska,79934
Levelock,Alaska,19750
Lime Village,Alaska,-
Livengood,Alaska,-
Loring,Alaska,-
Lowell Point,Alaska,-
Lower Kalskag,Alaska,31719
Lutak,Alaska,-
McCarthy,Alaska,-
McGrath,Alaska,48750
Manley Hot Springs,Alaska,-
Manokotak,Alaska,42125
Marshall,Alaska,40625
Meadow Lakes,Alaska,75673
Mekoryuk,Alaska,33750
Mendeltna,Alaska,68462
Mentasta Lake,Alaska,-
Mertarvik,Alaska,-
Metlakatla,Alaska,58229
Mill Bay,Alaska,107892
Minto,Alaska,-
Moose Creek,Alaska,108264
Moose Pass,Alaska,84148
Mosquito Lake,Alaska,127902
Mountain Village,Alaska,34583
Mud Bay,Alaska,-
Nabesna,Alaska,-
Naknek,Alaska,67188
Nanwalek,Alaska,50000
Napakiak,Alaska,20982
Napaskiak,Alaska,31078
Naukati Bay,Alaska,-
Nelchina,Alaska,128980
Nelson Lagoon,Alaska,-
Nenana,Alaska,43750
Newhalen,Alaska,44107
New Stuyahok,Alaska,45893
Newtok,Alaska,30417
Nightmute,Alaska,52292
Nikiski,Alaska,60913
Nikolaevsk,Alaska,54167
Nikolai,Alaska,-
Nikolski,Alaska,41250
Ninilchik,Alaska,51958
Noatak,Alaska,56667
Nome,Alaska,91375
Nondalton,Alaska,55625
Noorvik,Alaska,51563
North Lakes,Alaska,81094
North Pole,Alaska,83524
Northway,Alaska,48125
Nuiqsut,Alaska,68393
Nulato,Alaska,50375
Nunam Iqua,Alaska,33750
Nunapitchuk,Alaska,40650
Old Harbor,Alaska,34167
Oscarville,Alaska,94167
Ouzinkie,Alaska,46875
Palmer,Alaska,62068
Paxson,Alaska,-
Pedro Bay,Alaska,55938
Pelican,Alaska,-
Perryville,Alaska,-
Petersburg,Alaska,73289
Petersville,Alaska,-
Pilot Point,Alaska,48750
Pilot Station,Alaska,27000
Pitkas Point,Alaska,53438
Platinum,Alaska,-
Pleasant Valley,Alaska,-
Point Baker,Alaska,-
Point Hope,Alaska,62321
Point Lay,Alaska,78750
Point MacKenzie,Alaska,83828
Point Possession,Alaska,-
Pope-Vannoy Landing,Alaska,-
Portage Creek,Alaska,-
Port Alexander,Alaska,45625
Port Alsworth,Alaska,94375
Port Clarence,Alaska,-
Port Graham,Alaska,41389
Port Heiden,Alaska,43750
Port Lions,Alaska,46250
Port Protection,Alaska,-
Primrose,Alaska,75750
Prudhoe Bay,Alaska,-
Quinhagak,Alaska,33125
Rampart,Alaska,-
Red Devil,Alaska,-
Red Dog Mine,Alaska,-
Ridgeway,Alaska,93542
Ruby,Alaska,40000
Russian Mission,Alaska,-
St. George,Alaska,80000
St. Mary's,Alaska,41875
St. Michael,Alaska,37188
St. Paul,Alaska,60000
Salamatof,Alaska,79844
Salcha,Alaska,59453
Sand Point,Alaska,75625
Savoonga,Alaska,49792
Saxman,Alaska,46250
Scammon Bay,Alaska,38281
Selawik,Alaska,43000
Seldovia,Alaska,78750
Seldovia Village,Alaska,71458
Seward,Alaska,75050
Shageluk,Alaska,-
Shaktoolik,Alaska,58500
Shishmaref,Alaska,53182
Shungnak,Alaska,60938
Silver Springs,Alaska,115208
Sitka city and borough,Alaska,82083
Skagway,Alaska,83125
Skwentna,Alaska,-
Slana,Alaska,-
